Image_Name,Generation,Generation_Time_Seconds,Solution_ID,Obj1_Attack_Score,Obj2_Distortion_Score,Active_MMRs,MMR1_Rotation,MMR2_Scale,MMR3_HistEq,MMR4_Downsample,MMR5_Shear,MMR6_Translate,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
01356.jpg,1,67.585270,0,0.000000,0.421665,1,False,False,False,True,False,False,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0",1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,1,0.500000,1.548537,2,False,True,False,False,False,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 0
2. Vegetation: 1
3. Trash: 1
4. Objects: 1","Trash:0, Objects:0, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,2,1.000000,2.351157,5,True,True,False,True,True,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 piece of trash
4. Objects: 1 piece of trash","Trash:1, Objects:0, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,3,0.000000,0.777138,2,False,False,False,False,True,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,4,0.000000,1.957700,4,True,True,False,False,True,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,5,0.000000,0.735940,4,True,True,False,True,False,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 object
4. Objects: 1 object","Trash:0, Objects:1, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,6,0.000000,2.534794,5,True,True,True,True,False,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,7,0.000000,2.546242,4,False,False,True,True,True,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,8,1.166667,1.353438,4,False,False,True,True,True,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: Two pieces of trash
4. Objects: Two pieces of trash","Trash:2, Objects:0, Animal:0, Vegetation:0"
01356.jpg,1,67.585270,9,0.000000,0.997927,2,False,True,False,False,False,True,1. Objects: There are two objects visible in the underwater image. One is a piece of trash and the other is a rock.,"Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
