Image_Name,Generation,Generation_Time_Seconds,Solution_ID,Obj1_Attack_Score,Obj2_Distortion_Score,Active_MMRs,MMR1_Rotation,MMR2_Scale,MMR3_HistEq,MMR4_Downsample,MMR5_Shear,MMR6_Translate,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
4534.jpg,1,128.633960,0,0.909091,1.062259,2,False,False,False,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 rock
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,1,0.000000,1.990214,3,False,False,False,True,True,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 10 pieces of trash","Trash:10, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,2,0.909091,0.362153,3,True,True,False,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 2 rocks
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,3,0.909091,2.187995,4,True,True,False,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 rock
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,4,2.400000,1.569024,3,True,True,False,False,True,False,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals - 1 fish
2. Vegetation - 1 plant
3. Trash - 1 rock
4. Objects - 1 metal object","Trash:1, Objects:1, Animal:1, Vegetation:1"
4534.jpg,1,128.633960,5,0.888889,1.883894,4,True,True,False,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 2 rocks, 1 bottle, 1 piece of wood
4. Objects: 2 rocks, 1 bottle, 1 piece of wood","Trash:2, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,6,0.909091,2.615342,3,False,True,True,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: 0
2. Vegetation: 1
3. Trash: 1
4. Objects: 1","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,7,0.909091,1.372785,2,False,True,False,False,True,False,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: 0
2. Vegetation: 1
3. Trash: 1
4. Objects: 1","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,8,0.888889,1.401280,2,True,False,False,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 2 bottles and a rock
4. Objects: 1 rock","Trash:2, Objects:0, Animal:0, Vegetation:0"
4534.jpg,1,128.633960,9,0.909091,1.837263,4,True,False,False,True,True,True,"1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 rock
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
