Image_Name,Generation,Selected_MMRs,Active_Count,Overall_Fitness,Obj1_Attack_Score,Obj2_Distortion_Score,MMR_Parameters,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
2350.jpg,1,"[""MMR3_HistEq"", ""MMR1_Rotation"", ""MMR4_Downsample"", ""MMR5_Shear""]",4,nan,0.000000,2.200106,"{""MMR3_HistEq"": {""clip_limit"": 1.2688501627764357}, ""MMR1_Rotation"": {""angle"": 4.297046607258654}, ""MMR4_Downsample"": {""scale_factor"": 0.9067173734877173}, ""MMR5_Shear"": {""h_shear"": 0.020853108746633348}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled rope
4. Objects: 1 red coral","Trash:1, Objects:0, Animal:1, Vegetation:0"
2350.jpg,2,"[""MMR3_HistEq"", ""MMR6_Translate"", ""MMR5_Shear"", ""MMR4_Downsample"", ""MMR1_Rotation"", ""MMR2_Scale""]",6,nan,0.500000,4.289720,"{""MMR3_HistEq"": {""clip_limit"": 2.8128620850927177}, ""MMR6_Translate"": {""h_shift_pct"": 0.015621293972551221}, ""MMR5_Shear"": {""h_shear"": -0.05254557404158963}, ""MMR4_Downsample"": {""scale_factor"": 0.9334127420723026}, ""MMR1_Rotation"": {""angle"": 3.8852592483927495}, ""MMR2_Scale"": {""zoom_level"": 0.9511240414969746}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 piece of trash
4. Objects: 2 pieces of trash","Trash:1, Objects:0, Animal:0, Vegetation:0"
2350.jpg,3,"[""MMR1_Rotation""]",1,nan,1.000000,0.154438,"{""MMR1_Rotation"": {""angle"": 0.7721889131122373}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 red object","Trash:1, Objects:1, Animal:1, Vegetation:1"
2350.jpg,4,"[""MMR2_Scale""]",1,nan,1.500000,0.914487,"{""MMR2_Scale"": {""zoom_level"": 1.2743460879775448}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One red object
4. Objects: One red object","Trash:0, Objects:1, Animal:0, Vegetation:0"
2350.jpg,5,"[""MMR6_Translate"", ""MMR5_Shear""]",2,nan,0.500000,1.669426,"{""MMR6_Translate"": {""h_shift_pct"": -0.02510422425218925}, ""MMR5_Shear"": {""h_shear"": 0.12489278755796643}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 piece of fishing line
4. Objects: 1 red fish","Trash:0, Objects:0, Animal:1, Vegetation:0"
2350.jpg,6,"[""MMR6_Translate"", ""MMR4_Downsample""]",2,nan,0.500000,1.192294,"{""MMR6_Translate"": {""h_shift_pct"": -0.02188507386516685}, ""MMR4_Downsample"": {""scale_factor"": 0.9537208792325699}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0",1. Animals: One red fish is visible in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
2350.jpg,7,"[""MMR4_Downsample""]",1,nan,1.000000,0.235677,"{""MMR4_Downsample"": {""scale_factor"": 0.9764323368471862}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 red plant
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red object","Trash:1, Objects:1, Animal:1, Vegetation:1"
2350.jpg,8,"[""MMR6_Translate"", ""MMR3_HistEq""]",2,nan,1.500000,0.540698,"{""MMR6_Translate"": {""h_shift_pct"": 0.004421790600912398}, ""MMR3_HistEq"": {""clip_limit"": 1.393304576777446}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One red object
4. Objects: One red object","Trash:0, Objects:1, Animal:0, Vegetation:0"
2350.jpg,9,"[""MMR4_Downsample"", ""MMR6_Translate"", ""MMR2_Scale"", ""MMR5_Shear""]",4,nan,1.500000,1.000667,"{""MMR4_Downsample"": {""scale_factor"": 0.9792992533070994}, ""MMR6_Translate"": {""h_shift_pct"": 0.008883348972760566}, ""MMR2_Scale"": {""zoom_level"": 1.0856144316437404}, ""MMR5_Shear"": {""h_shear"": 0.03182499871907296}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One red object
4. Objects: One red object","Trash:0, Objects:1, Animal:0, Vegetation:0"
2350.jpg,10,"[""MMR6_Translate"", ""MMR1_Rotation"", ""MMR4_Downsample"", ""MMR2_Scale"", ""MMR5_Shear"", ""MMR3_HistEq""]",6,nan,1.500000,4.212711,"{""MMR6_Translate"": {""h_shift_pct"": -0.014078208641467159}, ""MMR1_Rotation"": {""angle"": -1.168831302633694}, ""MMR4_Downsample"": {""scale_factor"": 0.9793639260303033}, ""MMR2_Scale"": {""zoom_level"": 0.8015277089108324}, ""MMR5_Shear"": {""h_shear"": -0.1418539521747597}, ""MMR3_HistEq"": {""clip_limit"": 2.6960431515626024}}","1. Animals: 1 fish
2. Vegetation: 1 red coral
3. Trash: 1 pile of tangled ropes
4. Objects: 1 red fish","Trash:1, Objects:0, Animal:1, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One red object
4. Objects: One red object","Trash:0, Objects:1, Animal:0, Vegetation:0"
