Image_Name,Generation,Selected_MMRs,Active_Count,Overall_Fitness,Obj1_Attack_Score,Obj2_Distortion_Score,MMR_Parameters,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
3753.jpg,1,"[""MMR4_Downsample"", ""MMR5_Shear""]",2,nan,0.000000,1.086405,"{""MMR4_Downsample"": {""scale_factor"": 0.9067264062498687}, ""MMR5_Shear"": {""h_shear"": 0.023050344862495853}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One object is visible in the image, which is a small rock.","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,2,"[""MMR3_HistEq"", ""MMR2_Scale"", ""MMR6_Translate"", ""MMR5_Shear"", ""MMR4_Downsample"", ""MMR1_Rotation""]",6,nan,2.000000,5.320720,"{""MMR3_HistEq"": {""clip_limit"": 2.244398215655398}, ""MMR2_Scale"": {""zoom_level"": 0.7178366489226278}, ""MMR6_Translate"": {""h_shift_pct"": -0.02680506303734968}, ""MMR5_Shear"": {""h_shear"": -0.06426957286394479}, ""MMR4_Downsample"": {""scale_factor"": 0.9023503658890912}, ""MMR1_Rotation"": {""angle"": 4.186577103424719}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 square frame","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,3,"[""MMR4_Downsample"", ""MMR2_Scale"", ""MMR1_Rotation""]",3,nan,0.500000,1.391574,"{""MMR4_Downsample"": {""scale_factor"": 0.9966200405597653}, ""MMR2_Scale"": {""zoom_level"": 0.7264836004982366}, ""MMR1_Rotation"": {""angle"": -2.2302643373477347}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 0
2. Vegetation: 1
3. Trash: 1
4. Objects: 0","Trash:0, Objects:0, Animal:0, Vegetation:0"
3753.jpg,4,"[""MMR2_Scale"", ""MMR4_Downsample"", ""MMR1_Rotation"", ""MMR6_Translate""]",4,nan,0.000000,1.915038,"{""MMR2_Scale"": {""zoom_level"": 0.9048675408481794}, ""MMR4_Downsample"": {""scale_factor"": 0.9170716513490195}, ""MMR1_Rotation"": {""angle"": 0.35898892830161255}, ""MMR6_Translate"": {""h_shift_pct"": -0.02090544683179077}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,5,"[""MMR2_Scale"", ""MMR3_HistEq""]",2,nan,1.000000,0.552168,"{""MMR2_Scale"": {""zoom_level"": 1.027611474208439}, ""MMR3_HistEq"": {""clip_limit"": 1.460129324752577}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,6,"[""MMR1_Rotation"", ""MMR3_HistEq"", ""MMR4_Downsample"", ""MMR2_Scale"", ""MMR5_Shear""]",5,nan,1.166667,2.678819,"{""MMR1_Rotation"": {""angle"": 1.3948581876281239}, ""MMR3_HistEq"": {""clip_limit"": 2.290330381622457}, ""MMR4_Downsample"": {""scale_factor"": 0.9495705777720163}, ""MMR2_Scale"": {""zoom_level"": 1.0298057130421912}, ""MMR5_Shear"": {""h_shear"": -0.0758805421486712}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are two fish swimming in the water.,"Trash:0, Objects:0, Animal:2, Vegetation:0"
3753.jpg,7,"[""MMR3_HistEq"", ""MMR4_Downsample""]",2,nan,1.000000,1.652289,"{""MMR3_HistEq"": {""clip_limit"": 2.6181524518026826}, ""MMR4_Downsample"": {""scale_factor"": 0.9965863481172083}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,8,"[""MMR1_Rotation"", ""MMR4_Downsample"", ""MMR3_HistEq""]",3,nan,2.000000,0.869302,"{""MMR1_Rotation"": {""angle"": -0.13870419528674827}, ""MMR4_Downsample"": {""scale_factor"": 0.9395214630398668}, ""MMR3_HistEq"": {""clip_limit"": 1.2367756071946883}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock

In the underwater image, there are four visible objects:

1. One fish
2. One plant
3. One piece of trash
4. One rock","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,9,"[""MMR5_Shear"", ""MMR3_HistEq"", ""MMR2_Scale"", ""MMR1_Rotation"", ""MMR4_Downsample"", ""MMR6_Translate""]",6,nan,2.000000,4.215316,"{""MMR5_Shear"": {""h_shear"": 0.08577749844076685}, ""MMR3_HistEq"": {""clip_limit"": 2.9967806754300605}, ""MMR2_Scale"": {""zoom_level"": 0.8129606979629345}, ""MMR1_Rotation"": {""angle"": -1.1423349838330568}, ""MMR4_Downsample"": {""scale_factor"": 0.9440658443783557}, ""MMR6_Translate"": {""h_shift_pct"": 0.007062376811063739}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock

In this underwater image, there are four visible objects:

1. One fish
2. One plant
3. One piece of trash
4. One rock","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,10,"[""MMR6_Translate""]",1,nan,1.000000,0.787077,"{""MMR6_Translate"": {""h_shift_pct"": -0.023612299001351193}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There is a fish swimming in the water.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
