Image_Name,Generation,Selected_MMRs,Active_Count,Overall_Fitness,Obj1_Attack_Score,Obj2_Distortion_Score,MMR_Parameters,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
233.jpg,1,"[""MMR4_Downsample"", ""MMR2_Scale"", ""MMR1_Rotation""]",3,nan,0.000000,1.455565,"{""MMR4_Downsample"": {""scale_factor"": 0.9213471269679796}, ""MMR2_Scale"": {""zoom_level"": 0.8593938279605425}, ""MMR1_Rotation"": {""angle"": -1.001743511266191}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,2,"[""MMR1_Rotation"", ""MMR3_HistEq"", ""MMR4_Downsample"", ""MMR6_Translate""]",4,nan,0.000000,3.733057,"{""MMR1_Rotation"": {""angle"": -0.16167053699792877}, ""MMR3_HistEq"": {""clip_limit"": 2.8962699678777946}, ""MMR4_Downsample"": {""scale_factor"": 0.9184892775127416}, ""MMR6_Translate"": {""h_shift_pct"": 0.029680380629219023}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,3,"[""MMR5_Shear"", ""MMR2_Scale"", ""MMR3_HistEq"", ""MMR1_Rotation"", ""MMR6_Translate"", ""MMR4_Downsample""]",6,nan,0.000000,3.184398,"{""MMR5_Shear"": {""h_shear"": 0.095163315502972}, ""MMR2_Scale"": {""zoom_level"": 0.8225772506874004}, ""MMR3_HistEq"": {""clip_limit"": 1.3336194003018407}, ""MMR1_Rotation"": {""angle"": -3.1478590182978907}, ""MMR6_Translate"": {""h_shift_pct"": 0.004367504775495162}, ""MMR4_Downsample"": {""scale_factor"": 0.9150207505120389}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,4,"[""MMR5_Shear"", ""MMR6_Translate"", ""MMR3_HistEq""]",3,nan,0.500000,1.922060,"{""MMR5_Shear"": {""h_shear"": -0.00276376926973973}, ""MMR6_Translate"": {""h_shift_pct"": -0.009546149747492613}, ""MMR3_HistEq"": {""clip_limit"": 2.585429836294786}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 piece of trash
4. Objects: 1 rock","Trash:1, Objects:0, Animal:0, Vegetation:0"
233.jpg,5,"[""MMR3_HistEq"", ""MMR6_Translate""]",2,nan,0.000000,0.619304,"{""MMR3_HistEq"": {""clip_limit"": 1.1047110748308013}, ""MMR6_Translate"": {""h_shift_pct"": -0.01543778613034577}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,6,"[""MMR4_Downsample"", ""MMR1_Rotation"", ""MMR2_Scale""]",3,nan,0.000000,1.930176,"{""MMR4_Downsample"": {""scale_factor"": 0.9397158122850469}, ""MMR1_Rotation"": {""angle"": 1.7471387899881607}, ""MMR2_Scale"": {""zoom_level"": 0.7066280098649916}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,7,"[""MMR5_Shear"", ""MMR1_Rotation"", ""MMR2_Scale"", ""MMR6_Translate"", ""MMR4_Downsample"", ""MMR3_HistEq""]",6,nan,0.000000,3.857137,"{""MMR5_Shear"": {""h_shear"": 0.09357182524257437}, ""MMR1_Rotation"": {""angle"": -0.7435591542394011}, ""MMR2_Scale"": {""zoom_level"": 0.9997867061446449}, ""MMR6_Translate"": {""h_shift_pct"": -0.027198163828086916}, ""MMR4_Downsample"": {""scale_factor"": 0.9218086675057999}, ""MMR3_HistEq"": {""clip_limit"": 2.395383116040717}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,8,"[""MMR5_Shear"", ""MMR4_Downsample"", ""MMR6_Translate"", ""MMR2_Scale""]",4,nan,0.000000,1.530094,"{""MMR5_Shear"": {""h_shear"": -0.006130473768787031}, ""MMR4_Downsample"": {""scale_factor"": 0.9093073224359567}, ""MMR6_Translate"": {""h_shift_pct"": 0.01351094108658054}, ""MMR2_Scale"": {""zoom_level"": 0.9604200701048561}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,9,"[""MMR6_Translate"", ""MMR3_HistEq"", ""MMR4_Downsample"", ""MMR1_Rotation""]",4,nan,0.000000,3.880338,"{""MMR6_Translate"": {""h_shift_pct"": 0.003929950348192671}, ""MMR3_HistEq"": {""clip_limit"": 2.8019107208362213}, ""MMR4_Downsample"": {""scale_factor"": 0.9031466267582542}, ""MMR1_Rotation"": {""angle"": 4.894474041226463}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: A rocky surface","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,10,"[""MMR6_Translate"", ""MMR3_HistEq"", ""MMR2_Scale"", ""MMR1_Rotation"", ""MMR5_Shear"", ""MMR4_Downsample""]",6,nan,0.000000,4.321117,"{""MMR6_Translate"": {""h_shift_pct"": 0.010771436394805968}, ""MMR3_HistEq"": {""clip_limit"": 1.8689941573977393}, ""MMR2_Scale"": {""zoom_level"": 0.7283344284013255}, ""MMR1_Rotation"": {""angle"": 2.8534598163553238}, ""MMR5_Shear"": {""h_shear"": 0.14789685016057438}, ""MMR4_Downsample"": {""scale_factor"": 0.9369147659309247}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,11,"[""MMR5_Shear"", ""MMR3_HistEq"", ""MMR4_Downsample"", ""MMR6_Translate"", ""MMR1_Rotation""]",5,nan,0.000000,2.295247,"{""MMR5_Shear"": {""h_shear"": -0.11803391172579314}, ""MMR3_HistEq"": {""clip_limit"": 1.5141343808060712}, ""MMR4_Downsample"": {""scale_factor"": 0.9912151944499251}, ""MMR6_Translate"": {""h_shift_pct"": -0.02190305632238884}, ""MMR1_Rotation"": {""angle"": -0.8813519335516231}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: A rocky surface","Trash:0, Objects:0, Animal:0, Vegetation:0"
233.jpg,12,"[""MMR2_Scale"", ""MMR6_Translate""]",2,nan,0.000000,0.877122,"{""MMR2_Scale"": {""zoom_level"": 0.8052755479978162}, ""MMR6_Translate"": {""h_shift_pct"": 0.006841215487242931}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: Rocks","Trash:0, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
