Image_Name,Generation,Selected_MMRs,Active_Count,Overall_Fitness,Obj1_Attack_Score,Obj2_Distortion_Score,MMR_Parameters,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
3753.jpg,1,"[""MMR5_Shear"", ""MMR4_Downsample"", ""MMR1_Rotation""]",3,nan,0.000000,0.602588,"{""MMR5_Shear"": {""h_shear"": 0.0548226341244234}, ""MMR4_Downsample"": {""scale_factor"": 0.9906180453918136}, ""MMR1_Rotation"": {""angle"": -0.7164193096774483}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,2,"[""MMR6_Translate"", ""MMR1_Rotation"", ""MMR2_Scale"", ""MMR5_Shear"", ""MMR4_Downsample"", ""MMR3_HistEq""]",6,nan,2.000000,3.452293,"{""MMR6_Translate"": {""h_shift_pct"": -0.02716724806857578}, ""MMR1_Rotation"": {""angle"": 2.5773779567094035}, ""MMR2_Scale"": {""zoom_level"": 0.8878206405988474}, ""MMR5_Shear"": {""h_shear"": 0.07316217018437068}, ""MMR4_Downsample"": {""scale_factor"": 0.9928672989344901}, ""MMR3_HistEq"": {""clip_limit"": 2.0982365944864174}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 frame","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,3,"[""MMR2_Scale"", ""MMR6_Translate"", ""MMR3_HistEq""]",3,nan,1.000000,2.737181,"{""MMR2_Scale"": {""zoom_level"": 1.1024341823671389}, ""MMR6_Translate"": {""h_shift_pct"": -0.023815636377245954}, ""MMR3_HistEq"": {""clip_limit"": 2.601879071572289}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There is a fish swimming in the water.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,4,"[""MMR5_Shear"", ""MMR2_Scale"", ""MMR1_Rotation"", ""MMR3_HistEq""]",4,nan,1.000000,3.746709,"{""MMR5_Shear"": {""h_shear"": -0.1271243823436912}, ""MMR2_Scale"": {""zoom_level"": 1.2418711168204473}, ""MMR1_Rotation"": {""angle"": 4.325528443430969}, ""MMR3_HistEq"": {""clip_limit"": 2.227870833520736}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There is a fish swimming in the water.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,5,"[""MMR4_Downsample"", ""MMR2_Scale""]",2,nan,0.500000,0.827948,"{""MMR4_Downsample"": {""scale_factor"": 0.977739463089377}, ""MMR2_Scale"": {""zoom_level"": 0.818397238913614}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One object is visible in the image, which is a yellow object.","Trash:0, Objects:2, Animal:0, Vegetation:0"
3753.jpg,6,"[""MMR3_HistEq"", ""MMR5_Shear""]",2,nan,1.000000,1.937266,"{""MMR3_HistEq"": {""clip_limit"": 2.449787088220102}, ""MMR5_Shear"": {""h_shear"": 0.07312189128709248}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,7,"[""MMR2_Scale"", ""MMR3_HistEq"", ""MMR1_Rotation"", ""MMR6_Translate""]",4,nan,1.000000,3.095768,"{""MMR2_Scale"": {""zoom_level"": 1.0801574244420826}, ""MMR3_HistEq"": {""clip_limit"": 2.8761416300883242}, ""MMR1_Rotation"": {""angle"": -2.370010696670497}, ""MMR6_Translate"": {""h_shift_pct"": -0.014352999281173798}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: One fish is visible in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,8,"[""MMR5_Shear"", ""MMR2_Scale"", ""MMR1_Rotation"", ""MMR3_HistEq"", ""MMR4_Downsample""]",5,nan,2.000000,3.436888,"{""MMR5_Shear"": {""h_shear"": 0.1088199339581549}, ""MMR2_Scale"": {""zoom_level"": 0.7471825589508813}, ""MMR1_Rotation"": {""angle"": 0.34160683807680225}, ""MMR3_HistEq"": {""clip_limit"": 1.9296998988883045}, ""MMR4_Downsample"": {""scale_factor"": 0.9129323905296448}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 frame","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,9,"[""MMR5_Shear"", ""MMR3_HistEq"", ""MMR6_Translate"", ""MMR4_Downsample""]",4,nan,1.000000,2.806656,"{""MMR5_Shear"": {""h_shear"": -0.09839873474711358}, ""MMR3_HistEq"": {""clip_limit"": 1.9828802788510735}, ""MMR6_Translate"": {""h_shift_pct"": -0.013305150482451105}, ""MMR4_Downsample"": {""scale_factor"": 0.9275720855997869}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: One fish is visible in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,10,"[""MMR5_Shear"", ""MMR2_Scale"", ""MMR6_Translate""]",3,nan,1.500000,1.136319,"{""MMR5_Shear"": {""h_shear"": -0.1260836049747219}, ""MMR2_Scale"": {""zoom_level"": 0.9773109563403032}, ""MMR6_Translate"": {""h_shift_pct"": -0.006603939512959702}}","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 object

In this underwater image, there is a fish swimming in the water, a plant, a piece of trash, and an object. The image is taken from a bird's","Trash:1, Objects:1, Animal:1, Vegetation:1"
